,K,k_means_score
0,1,320058.059927
1,2,160464.741334
2,3,130604.159701
3,4,109417.985716
4,5,97518.327236
5,6,88669.9783837
6,7,80716.2049881
7,8,75202.3502493
8,9,71533.6215125
