,attributes,squared_loadings
0,Unnamed: 0,0.993872171062
3,2,0.406488059576
2,1,0.379870900543
4,3,0.328129651401
8,7,0.309129530807
5,4,0.308093588457
1,0,0.275792595214
10,9,0.247437703946
11,0.1,0.214294802499
6,5,0.18784577654
9,8,0.176701686654
7,6,0.172343533301
