,K,k_means_score
0,1,320058.059927
1,2,160464.741334
2,3,130604.159701
3,4,109419.249171
4,5,97509.1833294
5,6,88869.9995095
6,7,80708.8248281
7,8,75204.3693261
8,9,71536.4487836
